-2,738,Þว 1์/๑,-2,740,Þว 1์/๑
-6,749,ัว 1์/๑,-7,750,ัว 1์/๑
-5,751,Þ 1์/๑,-2,749,Þ 1์/๑
-2,745,Þว 3์/๑,-1,745,Þว 3์/๑
-1,748,Þว 1์/๑,-1,750,Þว 1์/๑
0,755,ุ,-2,756,ุ
-2,757,ว 2์/๑,-4,758,ว 2์/๑
-4,760,ย 1์/๑,-4,759,ย 1์/๑
-3,755,Þว 2์/๑,-5,753,Þว 2์/๑
-4,750,Þว 2์/๑,-4,750,Þว 2์/๑
-2,750,Þว 1์/๑,-3,749,Þว 1์/๑
-3,751,ว 2์/๑,-3,750,ว 2์/๑
-4,742,ว 4์/๑,-4,742,ว 4์/๑
0,751,ว 2์/๑,0,753,ว 2์/๑
-1,759,ว 2์/๑,-4,759,ว 2์/๑
+1,752,ว 4์/๑,0,751,ว 4์/๑
+1,753,ว 1์/๑,+1,755,ว 1์/๑
+1,756,ว 1์/๑,+1,757,ว 1์/๑
0,755,ว 4์/๑,-1,755,ว 4์/๑
-1,752,ว 3์/๑,-2,750,ว 3์/๑
+1,744,Þว 2์/๑,0,739,Þว 2์/๑
+1,731,ว 4์/๑,-2,731,ว 4์/๑
-2,734,ัว 1์/๑,-6,737,ัว 1์/๑
-7,743,ว 3์/๑,-10,743,ว 3์/๑
-1,734,Þว 2์/๑,0,733,Þว 2์/๑
-2,737,ัว 3์/๑,-4,742,ัว 3์/๑
-2,740,ัว 5์/๑,-7,746,ัว 5์/๑
-10,756,Þ 1์/๑,-13,757,Þ 1์/๑
-8,755,ย 3์/๑,-10,754,ย 3์/๑
-2,748,ย 3์/๑,-2,747,ย 3์/๑
-1,744,Þย 2์/๑,-1,744,Þย 2์/๑
0,745,Þว 1์/๑,-1,746,Þว 1์/๑
-1,745,ย 2์/๑,-1,743,ย 2์/๑
+1,729,Þว 3์/๑,+2,730,Þว 3์/๑
0,730,ว 3์/๑,-1,733,ว 3์/๑
-2,739,ว 3์/๑,-4,742,ว 3์/๑
-6,743,ว 2์/๑,-9,743,ว 2์/๑
-7,737,ั 1์/๑,-9,740,ั 1์/๑
-12,746,ัว 2์/๑,-15,750,ัว 2์/๑
-12,755,ว 2์/๑,-15,756,ว 2์/๑
-7,749,Þว 3์/๑,-7,749,Þว 3์/๑
-5,750,Þ 2์/๑,-7,751,Þ 2์/๑
-5,751,Þ 1์/๑,-8,750,Þ 1์/๑
